# FF7 German Strings by touphScript Index
# Generated: 2026-01-03 13:22:02 JST
# Session: 8bc98f0a-abab-49e6-acdd-56dd38e9d149
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Base Delta: 0x77840
# Total strings: 758
#
# Format: [INDEX] [DE_OFFSET] [LENGTH] [TYPE] | DECODED_DE_TEXT | RAW_HEX_BYTES
# ====================================================================================================

[195] 0x00591E84  12 RGB        | ES  KEINES   | 45 53 00 00 4B 45 49 4E 45 53 00 00
[196] 0x00591E90   8 RGB        | NUM. ENT | 4E 55 4D 2E 20 45 4E 54
[197] 0x00591EA0  12 RGB        | TE STRG KEIN | 54 45 20 53 54 52 47 00 4B 45 49 4E
[198] 0x00591EAC  12 RGB        | ES  KEINES   | 45 53 00 00 4B 45 49 4E 45 53 00 00
[199] 0x00591EB8  12 RGB        | KEINES  KEIN | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[200] 0x00591ECC   4 RGB        | ES   | 45 53 00 00
[201] 0x00591ED0   8 RGB        | KEINES   | 4B 45 49 4E 45 53 00 00
[202] 0x00591ED8   8 RGB        | KEINES   | 4B 45 49 4E 45 53 00 00
[203] 0x00591EE0   8 RGB        | KEINES   | 4B 45 49 4E 45 53 00 00
[204] 0x00591F08  12 RGB        | KEINES  KEIN | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[205] 0x00591F14  12 RGB        | ES  KEINES   | 45 53 00 00 4B 45 49 4E 45 53 00 00
[206] 0x00591F20  12 RGB        | KEINES  KEIN | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[207] 0x00591F2C  12 RGB        | ES  KEINES   | 45 53 00 00 4B 45 49 4E 45 53 00 00
[208] 0x00591F38  12 RGB        | KEINES  KEIN | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[209] 0x00591F44  12 RGB        | ES  KEINES   | 45 53 00 00 4B 45 49 4E 45 53 00 00
[210] 0x00591F50  12 RGB        | NUM. KOMMA   | 4E 55 4D 2E 20 4B 4F 4D 4D 41 00 00
[211] 0x00591F5C  12 RGB        | KEINES  GETE | 4B 45 49 4E 45 53 00 00 47 45 54 45
[212] 0x00591F68  12 DEF        | ilt keines   | 49 4C 54 00 4B 45 49 4E 45 53 00 00
[213] 0x00591F74  12 DEF        | prtN[20]scrn    | 50 52 54 2E 20 53 43 52 4E 00 00 00
[214] 0x00594A20   8 DEF        | [CD][CC][CC]^[CD][CC][CC]^ | CD CC CC 3E CD CC CC 3E
[215] 0x00594A7C  10 DEF        |     [CD][CC][CC]^[CD][CC] | 00 00 00 00 CD CC CC 3E CD CC
[216] 0x00594A86  10 DEF        | [CC]^[CD][CC][CC]^     | CC 3E CD CC CC 3E 00 00 00 00
[217] 0x00594A90  10 DEF        |            | 00 00 00 00 00 00 00 00 00 00
[218] 0x00594A9A  10 DEF        |       mX  | 00 00 00 00 00 00 4D 38 76 00
[219] 0x00594AA4  10 DEF        | [C5]\ [96]i [AF]j | C5 3C 76 00 96 49 76 00 AF 4A
[220] 0x00594AAE  10 DEF        |  [19]n [09]d  | 76 00 19 4E 76 00 09 44 76 00
[221] 0x00594AB8  10 DEF        | [B2]f [8C]k OX | B2 46 76 00 8C 4B 76 00 2F 38
[222] 0x00594AC2  10 DEF        |  Aw OX  | 76 00 21 57 76 00 2F 38 76 00
[223] 0x00594ACC  10 DEF        |  | FF 3A 76 00 3E 38 76 00 2F 38
[224] 0x00594AF4  10 DEF        | ^X OX OX | 3E 38 76 00 2F 38 76 00 2F 38
[225] 0x00594AFE  11 DEF        |  [F7]p OX  | 76 00 F7 50 76 00 2F 38 76 00 6B
[226] 0x00594B1C  10 DEF        | OX rX [D7]] | 2F 38 76 00 52 38 76 00 D7 3D
[227] 0x00594B30  10 DEF        | [85]o [C0]d g | 85 4F 76 00 C0 44 76 00 75 47
[228] 0x00594B4E  10 DEF        |  cX YX  | 76 00 43 38 76 00 39 38 76 00
[229] 0x00594B58  10 DEF        | YX {r YX | 39 38 76 00 5B 52 76 00 39 38
[230] 0x00594B62  10 DEF        |  YX YX  | 76 00 39 38 76 00 39 38 76 00
[231] 0x00594B6C  10 DEF        | [FB]V D[ cX | FB 36 76 00 24 3B 76 00 43 38
[232] 0x00594BE0  28 DEF        | TX TX TX JX [C0]\ hX TX  | 34 38 76 00 34 38 76 00 34 38 76 00 2A 38 76 00 C0 3C 76 00 48 38 76 00 34 38 76 00
[233] 0x00594BFC   4 DEF        | TX  | 34 38 76 00
[234] 0x00594C00   8 DEF        | s TX  | 63 53 76 00 34 38 76 00
[235] 0x00594C08  16 DEF        | u t [1C]w TX  | 65 55 76 00 66 54 76 00 1C 57 76 00 34 38 76 00
[236] 0x00594DC8  16 DEF        |           Toll | 00 00 00 00 00 00 00 00 00 00 34 4F 4C 4C FF 00
[237] 0x00594DD8  24 DEF        |         Einzigartig | 00 00 00 00 00 00 00 00 25 49 4E 5A 49 47 41 52 54 49 47 FF 00 00 2C 6A
[238] 0x00594DF0  22 DEF        | hmung | 48 4D 55 4E 47 FF 00 00 00 00 00 00 24 55 4E 4B 45 4C 48 45 49 54
[239] 0x00594E06  22 DEF        |  | FF 00 00 00 64 FF 00 00 00 00 00 00 00 00 00 00 00 00 64 FF 00 00
[240] 0x00594E1C  22 DEF        |            | 00 00 00 00 00 00 00 00 00 00 64 FF 00 00 00 00 00 00 00 00 00 00
[241] 0x00594E48  32 DEF        |         [04]       [80]  [80][80] [80][80]  [80][80] `[80][80] | 00 00 00 00 00 00 00 00 04 00 00 00 00 00 00 00 80 00 00 80 80 00 80 80 00 00 80 80 00 40 80 80
[242] 0x00594E68  32 DEF        |  [80][80][80] [80]`[80] [80] [80][80][80] [80]Rr `hpx[19]IY      | 00 80 80 80 00 80 40 80 00 80 00 80 80 80 00 80 32 52 72 00 40 48 50 58 19 29 39 00 00 00 00 00
[243] 0x00594E88  32 DEF        | Wieviel willst du ausgeben[1F] | 37 49 45 56 49 45 4C 00 57 49 4C 4C 53 54 00 44 55 00 41 55 53 47 45 42 45 4E 1F FF 27 49 4C FF
[244] 0x00594EA8  32 DEF        | Nach | 2E 41 43 48 FF 00 00 00 27 49 4C 00 41 55 46 00 44 45 52 00 28 41 4E 44 FF 00 00 00 00 00 00 00
[245] 0x00594EC8  32 DEF        | [02][05][04][03][01][02][04] [01][03][05][02][04] [05][01][01][02][04] [02][01][03][05][04] [02][01][05][04][02][03] | 02 05 04 03 01 02 04 00 01 03 05 02 04 00 05 01 01 02 04 00 02 01 03 05 04 00 02 01 05 04 02 03
[246] 0x00594EE8  32 DEF        | [02][04][03][02][01][04] [05][02][01][03][02][04][01][02][05]  `    [20]  `   | 02 04 03 02 01 04 00 05 02 01 03 02 04 01 02 05 00 00 40 00 00 00 70 00 20 00 70 00 40 00 70 00
[247] 0x00594F08  32 DEF        |   [A0] [20] [A0] ` [A0]     [20] `    [20]  `   | 00 00 A0 00 20 00 A0 00 40 00 A0 00 00 00 00 00 20 00 40 00 00 00 70 00 20 00 70 00 40 00 70 00
[248] 0x00594F28  32 DEF        |   [A0] [20] [A0] ` [A0]     ` `    [20]  `   | 00 00 A0 00 20 00 A0 00 40 00 A0 00 00 00 00 00 40 00 40 00 00 00 70 00 20 00 70 00 40 00 70 00
[249] 0x00594F48  32 DEF        |   [A0] [20] [A0] ` [A0]            `  [80]   | 00 00 A0 00 20 00 A0 00 40 00 A0 00 00 00 00 00 00 00 00 00 00 00 60 00 40 00 60 00 80 00 60 00
[250] 0x00594F68  32 DEF        |   [C0] ` [C0] [80] [C0]     `      `  [80]   | 00 00 C0 00 40 00 C0 00 80 00 C0 00 00 00 00 00 40 00 00 00 00 00 60 00 40 00 60 00 80 00 60 00
[251] 0x00594F88  32 DEF        |   [C0] ` [C0] [80] [C0]     [80]      `  [80]   | 00 00 C0 00 40 00 C0 00 80 00 C0 00 00 00 00 00 80 00 00 00 00 00 60 00 40 00 60 00 80 00 60 00
[252] 0x00594FA8  32 DEF        |   [C0] ` [C0] [80] [C0]     [02][04][08][10]    [01][02][02][02][02][01][01][01] | 00 00 C0 00 40 00 C0 00 80 00 C0 00 00 00 00 00 02 04 08 10 00 00 00 00 01 02 02 02 02 01 01 01
[253] 0x00594FC8  32 DEF        | [01][01][01][01][01][01][01][01][01] [02][02][02] [01][01][01][01][01][01][01][01][01][01]         | 01 01 01 01 01 01 01 01 01 00 02 02 02 00 01 01 01 01 01 01 01 01 01 01 00 00 00 00 00 00 00 00
[254] 0x00594FE8  32 DEF        |         [01][01] [02][02] [01][01][01][01][01][01][01][01][01][01][01][01][01] [02][02]   | 00 00 00 00 00 00 00 00 01 01 00 02 02 00 01 01 01 01 01 01 01 01 01 01 01 01 01 00 02 02 00 00
[255] 0x00595008  32 DEF        | [01][01][01][01][01][01][01][01]                [01][01][01]  [02] [02] | 01 01 01 01 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 00 00 02 00 02
[256] 0x00595028  32 DEF        |  [01][01][01][01][01][01][01][01][01][01][01]  [02] [02]  [01][01][01][01][01]         | 00 01 01 01 01 01 01 01 01 01 01 01 00 00 02 00 02 00 00 01 01 01 01 01 00 00 00 00 00 00 00 00
[257] 0x00595048  32 DEF        |         [01][01][01][01]   [02]    [01][01][01][01][02][03][04][05][06][07][09][08] | 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 02 00 00 00 00 01 01 01 01 02 03 04 05 06 07 09 08
[258] 0x00595068  32 DEF        | [09][09][08] [0D][0A][0B][09]      [01][0C]Weiter[1F] | 09 09 08 00 0D 0A 0B 09 00 00 00 00 00 00 01 0C 37 45 49 54 45 52 1F FF 2A 41 00 00 00 00 00 2E
[259] 0x00595088  32 DEF        | ein | 45 49 4E FF 00 00 00 00 36 4F 52 48 41 4E 44 45 4E 45 00 33 43 48 4C 41 43 48 54 50 55 4E 4B 54
[260] 0x005950A8  32 DEF        | e | 45 FF 33 43 48 4C 49 54 5A 53 54 41 52 54 01 FF 00 00 00 00 00 00 00 00 00 00 00 00 34 2F 2C 2C
[261] 0x005950C8  32 DEF        | [01][01] | 01 01 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 45 57 4F 4E 4E 45 4E 45 00
[262] 0x005950E8  32 DEF        | Schlachtpunkte | 33 43 48 4C 41 43 48 54 50 55 4E 4B 54 45 FF 00 2F 4B 0C 00 44 41 4E 4E 00 4C 4F 53 01 FF 00 00
[263] 0x00595108  32 DEF        |                [B2]Zaubersubstanz k | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B2 3A 41 55 42 45 52 53 55 42 53 54 41 4E 5A 00 4B
[264] 0x00595128  32 DEF        | aputt[0E][B3] | 41 50 55 54 54 0E B3 FF 00 00 00 00 00 00 B2 21 55 46 52 55 46 53 55 42 53 54 41 4E 5A 00 4B 41
[265] 0x00595148  32 DEF        | putt[0E][B3] | 50 55 54 54 0E B3 FF 00 00 00 00 00 00 B2 33 55 50 50 4F 52 54 0D 33 55 42 53 54 41 4E 5A 00 4B
[266] 0x00595168  34 DEF        | aputt[0E][B3] | 41 50 55 54 54 0E B3 FF 00 00 00 00 B2 35 4E 41 42 48 6A 4E 47 49 47 45 00 33 55 42 53 54 41 4E 5A 00
[267] 0x0059518A  34 DEF        | kaputt[0E][B3] | 4B 41 50 55 54 54 0E B3 FF B2 22 45 46 45 48 4C 53 53 55 42 53 54 41 4E 5A 00 4B 41 50 55 54 54 0E B3
[268] 0x005951AC  34 DEF        |  | FF 00 00 00 00 00 B2 21 4C 4C 45 00 33 55 42 53 54 41 4E 5A 00 4B 41 50 55 54 54 0E B3 FF 00 00 00 00
[269] 0x00595320   8 DEF        |       [B2][11] | 00 00 00 00 00 00 B2 11
[270] 0x00595380  38 DEF        |    [B2][11][0F][12] HP[06]MP[0E][B3] | 00 00 00 B2 11 0F 12 00 28 30 06 2D 30 0E B3 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B2 2E 55 4C
[271] 0x005953A6  38 DEF        | l MP[0E][B3] | 4C 00 2D 30 0E B3 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B2 2A 41 41 01 00 2B 45 49 4E 45
[272] 0x005953CC  38 DEF        |  Behinderung[01][01][B3] | 00 22 45 48 49 4E 44 45 52 55 4E 47 01 01 B3 FF 00 00 00 00 B2 28 30 00 57 49 45 44 45 52 48 45 52 47 45 53 54 45
[273] 0x005953F2  38 DEF        | llt[0E][B3] | 4C 4C 54 0E B3 FF 00 00 00 00 00 00 00 00 22 45 53 4F 52 47 54 00 55 4D 00 44 49 45 00 41 4E 44 45 52 45 4E 00 2D
[274] 0x00595418  38 DEF        | itglieder[1F] | 49 54 47 4C 49 45 44 45 52 1F FF 2A 41 0C 00 45 49 4E 00 42 49 87 43 48 45 4E FF 00 00 00 00 00 00 00 00 00 00 00
[275] 0x0059543E  38 DEF        |         Eigentlich nicht | 00 00 00 00 00 00 00 00 25 49 47 45 4E 54 4C 49 43 48 00 4E 49 43 48 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00
[276] 0x00595662  22 DEF        | n zwei Gruppen aufteil | 4E 00 5A 57 45 49 00 27 52 55 50 50 45 4E 00 41 55 46 54 45 49 4C
[277] 0x00595678  22 DEF        | en | 45 4E FF 00 2D 49 54 47 4C 49 45 44 45 52 00 49 4E 00 44 52 45 49
[278] 0x0059568E  22 DEF        |  Gruppen aufteilen | 00 27 52 55 50 50 45 4E 00 41 55 46 54 45 49 4C 45 4E FF 00 27 52
[279] 0x00595718  36 DEF        | Element | 25 4C 45 4D 45 4E 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 25 46 46 45 4B 54 FF 00 00 00 00 00 00 00
[280] 0x0059573C  36 DEF        |         Angreifen | 00 00 00 00 00 00 00 00 21 4E 47 52 45 49 46 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 36 45 52 54 45 49
[281] 0x00595760  36 DEF        | digen | 44 49 47 45 4E FF 00 00 00 00 00 00 00 00 00 00 28 41 4C 42 49 45 52 45 4E FF 00 00 00 00 00 00 00 00 00 00
[282] 0x00595784  36 DEF        |   Ungültig | 00 00 35 4E 47 7F 4C 54 49 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 21 42 53 4F 52 42 49 45 52 45 4E FF
[283] 0x005957A8  36 DEF        |            | 00 00 00 00 00 00 00 00 00 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 00 00 00
[284] 0x005957CC  36 DEF        |                    | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[285] 0x005957F0  36 DEF        |     Stärke | 00 00 00 00 33 54 6A 52 4B 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 45 53 43 48 49 43 4B FF 00
[286] 0x00595814  36 DEF        |             Vitalität | 00 00 00 00 00 00 00 00 00 00 00 00 36 49 54 41 4C 49 54 6A 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 3A 41
[287] 0x00595838  36 DEF        | uber | 55 42 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2D 4F 52 41 4C FF 00 00 00 00 00 00 00 00 00 00
[288] 0x0059585C  36 DEF        |       Glück | 00 00 00 00 00 00 27 4C 7F 43 4B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 4E 47 52 45 49 46 45
[289] 0x00595880  36 DEF        | n | 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 21 4E 47 52 45 49 46 45 4E 00 05 FF 00 00 00 00 00 00 00 00 00 00
[290] 0x005958A4  36 DEF        | Verteidigen | 36 45 52 54 45 49 44 49 47 45 4E FF 00 00 00 00 00 00 00 00 00 00 36 45 52 54 45 49 44 49 47 45 4E 00 05 FF
[291] 0x005958C8  36 DEF        |         Zbrangrf | 00 00 00 00 00 00 00 00 3A 42 52 41 4E 47 52 46 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 42 52 56 45 52
[292] 0x005958EC  36 DEF        | tdg | 54 44 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 3A 42 52 56 45 52 54 44 47 00 05 FF 00 00 00 00 00 00 00 00
[293] 0x00596780  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[294] 0x0059678A  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[295] 0x00596794  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[296] 0x0059679E  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[297] 0x005967A8  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[298] 0x005967B2  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[299] 0x005967BC  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[300] 0x005967C6  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[301] 0x005967D0  10 DEF        |  | FF FF FF FF FF FF FF FF FF FF
[302] 0x005967E0  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[303] 0x005967F4  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[304] 0x00596808  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[305] 0x0059681C  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[306] 0x00596830  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[307] 0x00596844  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[308] 0x00596858  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[309] 0x0059686C  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[310] 0x00596880  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[311] 0x00596894  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[312] 0x005968A8  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[313] 0x005968BC  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[314] 0x005968D0  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[315] 0x005968E4  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[316] 0x005968F8  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[317] 0x0059690C  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[318] 0x00596920  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[319] 0x00596934  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[320] 0x00596948  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[321] 0x00596970  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[322] 0x00596984  20 DEF        |  | FF FF FF FF FF FF FF FF FF 00 00 00 FF FF FF FF 00 00 00 00
[323] 0x00596998  20 DEF        |     [80][02]    [80][02]S   [A3]  | 00 00 00 00 80 02 78 00 00 00 78 00 80 02 33 00 00 00 A3 00
[324] 0x005969AC  20 DEF        | [80][02]][01][A3] ^ [[01][B2]     `[01]\  | 80 02 3D 01 A3 00 3E 00 3B 01 B2 00 00 00 00 00 40 01 3C 00
[325] 0x005969C0  20 DEF        |   \ `[01][1A]   q `[01][9F] q [1F]  | 00 00 3C 00 40 01 1A 00 00 00 51 00 40 01 9F 00 51 00 1F 00
[326] 0x005969D4  20 DEF        | [9E] y  | 9E 00 59 00 FF FF FF FF 00 00 00 00 00 00 00 00 80 02 33 00
[327] 0x005969E8  20 DEF        |   S [80][02][AD][01]s[17][A1] | 00 00 33 00 80 02 AD 01 53 69 17 61 A1 69 FF 00 28 49 54 5A
[328] 0x00596A00  15 DEF        |     Kälte | 00 00 00 00 2B 6A 4C 54 45 FF 00 00 00 00 00
[329] 0x00596A0F  15 DEF        |  Gewitter | 00 27 45 57 49 54 54 45 52 FF 00 00 00 25 52
[330] 0x00596A1E  15 DEF        | de | 44 45 FF 00 00 00 00 00 00 00 27 49 46 54 FF
[331] 0x00596A2D  15 DEF        |        Schwerkr | 00 00 00 00 00 00 00 33 43 48 57 45 52 4B 52
[332] 0x00596A3C  15 DEF        | aft | 41 46 54 FF 37 41 53 53 45 52 FF 00 00 00 00
[333] 0x00596A4B  15 DEF        |  Wind | 00 37 49 4E 44 FF 00 00 00 00 00 00 00 28 45
[334] 0x00596A5A  15 DEF        | ilig | 49 4C 49 47 FF 00 00 00 00 00 00 00 00 00 34
[335] 0x00596A96  15 DEF        |  | FF 00 00 00 00 00 00 00 00 00 00 00 00 00 27
[336] 0x00596AA5  15 DEF        | ift | 49 46 54 FF 00 00 00 00 00 00 00 00 00 00 00
[337] 0x00596AB4  15 DEF        |     Trauer | 00 00 00 00 34 52 41 55 45 52 FF 00 00 00 00
[338] 0x00596AC3  15 DEF        |          Zorn | 00 00 00 00 00 00 00 00 00 3A 4F 52 4E FF 00
[339] 0x00596AD2  15 DEF        |               P | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 30
[340] 0x00596AE1  15 DEF        | sycho | 53 59 43 48 4F FF 00 00 00 00 00 00 00 00 00
[341] 0x00596AF0  15 DEF        |     Schweigen | 00 00 00 00 33 43 48 57 45 49 47 45 4E FF 00
[342] 0x00596AFF  15 DEF        |          Hast | 00 00 00 00 00 00 00 00 00 28 41 53 54 FF 00
[343] 0x00596B0E  15 DEF        |               G | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27
[344] 0x00596B1D  15 DEF        | emach | 45 4D 41 43 48 FF 00 00 00 00 00 00 00 00 00
[345] 0x00596B2C  15 DEF        |     Stop | 00 00 00 00 33 54 4F 50 FF 00 00 00 00 00 00
[346] 0x00596B3B  15 DEF        |          Frosch | 00 00 00 00 00 00 00 00 00 26 52 4F 53 43 48
[347] 0x00596B4A  15 DEF        |  | FF 00 00 00 00 00 00 00 00 00 00 00 00 00 3A
[348] 0x00596B59  15 DEF        | werg | 57 45 52 47 FF 00 00 00 00 00 00 00 00 00 00
[349] 0x00596B68  15 DEF        |     Allm[0E]Verste | 00 00 00 00 21 4C 4C 4D 0E 36 45 52 53 54 45
[350] 0x00596B77  15 DEF        | in[0E] | 49 4E 0E FF 00 00 00 00 00 36 45 52 53 54 45
[351] 0x00596B86  15 DEF        | in[0E] | 49 4E 0E FF 00 00 00 00 00 00 00 00 00 00 28
[352] 0x00596BE8  12 DEF        |              | 00 00 00 00 00 00 00 00 00 00 00 00
[353] 0x00596BF4  12 DEF        |     Schild | 00 00 00 00 33 43 48 49 4C 44 FF 00
[354] 0x00596C00  12 DEF        |              | 00 00 00 00 00 00 00 00 00 00 00 00
[355] 0x00596C60  12 DEF        | ung | 55 4E 47 FF 00 00 00 00 00 00 00 00
[356] 0x00596C6C  12 DEF        |     Blind | 00 00 00 00 22 4C 49 4E 44 FF 00 00
[357] 0x00596C78  12 DEF        |              | 00 00 00 00 00 00 00 00 00 00 00 00
[358] 0x00596C84  12 DEF        |     Element[0F] | 00 00 00 00 25 4C 45 4D 45 4E 54 0F
[359] 0x00596C90  12 DEF        | Nebenwirkung | 2E 45 42 45 4E 57 49 52 4B 55 4E 47
[360] 0x00596C9C  12 DEF        |  | FF 00 00 00 00 3A 55 53 41 54 5A 57
[361] 0x00596CA8  12 DEF        | irkung | 49 52 4B 55 4E 47 FF 00 00 00 00 00
[362] 0x00596CB4  12 DEF        |       Angrif | 00 00 00 00 00 00 21 4E 47 52 49 46
[363] 0x00596CC0  12 DEF        | f | 46 FF 00 00 00 00 00 00 00 00 00 00
[364] 0x00596CCC  12 DEF        |        Verte | 00 00 00 00 00 00 00 36 45 52 54 45
[365] 0x00596CD8  12 DEF        | idigung | 49 44 49 47 55 4E 47 FF 00 00 00 00
[366] 0x00596CE4  12 DEF        |         Halb | 00 00 00 00 00 00 00 00 28 41 4C 42
[367] 0x00596CF0  12 DEF        | ieren | 49 45 52 45 4E FF 00 00 00 00 00 00
[368] 0x00596D58  36 DEF        |                   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[369] 0x00596D7C  36 DEF        |       Stärke | 00 00 00 00 00 00 33 54 6A 52 4B 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 45 53 43 48
[370] 0x00596DA0  36 DEF        | ick | 49 43 4B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 36 49 54 41 4C 49 54 6A 54 FF 00 00 00 00 00 00
[371] 0x00596DC4  36 DEF        |          Zauber | 00 00 00 00 00 00 00 00 00 3A 41 55 42 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 45
[372] 0x00596DE8  20 DEF        | müt | 4D 7F 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[373] 0x00596DFC  20 DEF        |    Glück | 00 00 00 27 4C 7F 43 4B FF 00 00 00 00 00 00 00 00 00 00 00
[374] 0x00596E10  20 DEF        |         Angriff | 00 00 00 00 00 00 00 00 21 4E 47 52 49 46 46 FF 00 00 00 00
[375] 0x00596E24  20 DEF        |              Angriff | 00 00 00 00 00 00 00 00 00 00 00 00 00 21 4E 47 52 49 46 46
[376] 0x00596E38  20 DEF        |  [05] | 00 05 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 36 45
[377] 0x00596E4C  20 DEF        | rteidigung | 52 54 45 49 44 49 47 55 4E 47 FF 00 00 00 00 00 00 00 00 00
[378] 0x00596E74  20 DEF        |         Zauber | 00 00 00 00 00 00 00 00 3A 41 55 42 45 52 FF 00 00 00 00 00
[379] 0x00596E88  20 DEF        |              Zaubera | 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 41 55 42 45 52 41
[380] 0x00596E9C  20 DEF        | bwehr | 42 57 45 48 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 3A 41
[381] 0x00596EB0  20 DEF        | uberabw[0E] [05] | 55 42 45 52 41 42 57 0E 00 05 FF 00 00 00 00 00 00 00 00 00
[382] 0x00596EC4  20 DEF        |    Waf[0E] | 00 00 00 37 41 46 0E FF 00 00 00 00 00 00 00 00 00 00 00 00
[383] 0x00596ED8  20 DEF        |         Rüs[0E] | 00 00 00 00 00 00 00 00 32 7F 53 0E FF 00 00 00 00 00 00 00
[384] 0x00596EEC  20 DEF        |              Acc[0E] | 00 00 00 00 00 00 00 00 00 00 00 00 00 21 43 43 0E FF 00 00
[385] 0x00596F14  20 DEF        | mit[0D]Stufe | 4D 49 54 0D 33 54 55 46 45 FF 00 00 00 00 00 00 00 00 00 00
[386] 0x00596F28  20 DEF        |             [80][02][E0][01]     | 00 00 00 00 00 00 00 00 00 00 00 00 80 02 E0 01 00 00 00 00
[387] 0x00596F3C  20 DEF        | `[01][F0]  [AD] [FD] `[01]R w ü [A0]  | 40 01 F0 00 64 00 AD 00 FD 00 40 01 32 00 57 00 7F 00 A0 00
