# German Strings - Clean Offsets (Text Start, No Empties)
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Region: 0x58FBB0 - 0x5A0000
# Total: 895 non-empty strings
# Offset points to where TEXT starts (after padding)
# Format: [INDEX] OFFSET (PAD_BYTES) | TEXT
================================================================================

[  554] 0x597CD8 (pad: 30) | Kapier ich nicht.
[  555] 0x597D00 (pad: 22) | Hat nichts mit mir zu tun.
[  556] 0x597D28 (pad: 13) | Cool! Das sollte ok sein!
[  557] 0x597D50 (pad: 14) | Nee! Kapier ich nicht!
[  558] 0x597D78 (pad: 17) | Mann, ich tapp total im Dunkeln!
[  559] 0x597DA0 (pad:  7) | Ich verlier immer mehr Menschliches
[  560] 0x597DC8 (pad:  3) | Ich bin noch nicht bereit.
[  561] 0x597DF0 (pad: 13) | Es hat nichts mit mir zu tun.
[  562] 0x597E18 (pad: 10) | Das gefällt mir! Her damit!
[  563] 0x597E40 (pad: 12) | Hmph. Hab ich nicht ganz kapiert, aber
[  564] 0x597E68 (no pad) | Nicht ich! Gib es jemand anders!
[  565] 0x597E90 (pad:  7) | Es hat nichts mit mir zu tun.
[  567] 0x597F2E (NOT FOUND: Cloud) | 8 N ï    E   • z E!° 5!@!i n q F!í       4 (! ì Z x   B â       3  =!]  I!J!K!L!
[  574] 0x598248 (no pad) | âvÜÜÜÜS\
[  576] 0x598268 (no pad) | VâÜäÜéudâ
[  579] 0x59829A (no pad) | vSÜâ
[  583] 0x5982D9 (no pad) | VxÜ
[  584] 0x5982EA (no pad) | VÜVS
[  585] 0x5982F9 (no pad) | äÜÜXäí
[  591] 0x598358 (no pad) | ïxÜe
[  602] 0x598438 (no pad) | âvÜÜÜÜS\
[  603] 0x598458 (no pad) | VâÜäÜéudâ
[  608] 0x5984AA (no pad) | vSÜâ
[  611] 0x5984DA (no pad) | VÜVS
[  612] 0x5984E9 (no pad) | VxÜ
[  614] 0x598509 (no pad) | äÜÜXäí
[  619] 0x598568 (no pad) | ïxÜe
[  623] 0x00598619 (cleaned) | Cloud
[  624] 0x598634 (pad:  6) | Barret
[  625] 0x598640 (pad:  5) | Tifa
[  626] 0x59864C (pad:  7) | Aeris
[  627] 0x598658 (pad:  6) | Red XIII
[  628] 0x598664 (pad:  3) | Yuffie
[  629] 0x598670 (pad:  5) | Cait Sith
[  630] 0x59867C (pad:  2) | Vincent
[  631] 0x598688 (pad:  4) | Cid
[  632] 0x598694 (pad:  8) | Choco
[  633] 0x5986BE (pad:  9) | Leer
[  634] 0x5986C8 (pad:  5) | Löschen
[  635] 0x5986D2 (pad:  2) | Auswählen
[  636] 0x5986DC (no pad) | Standard
[  637] 0x5986E6 (pad:  1) | Abbrechen
[  638] 0x0059873E (cleaned) | RaginLion
[  639] 0x598750 (pad:  6) | Freshmake
[  640] 0x598760 (pad:  6) | Square
[  641] 0x598770 (pad:  9) | 3Dfx
[  642] 0x598780 (pad: 11) | Local
[  643] 0x598790 (pad: 10) | Gold
[  644] 0x5987A0 (NOT FOUND: Ex-SOLDIER) | ëìèïókmoqs+-/13uwy{}579;=áâåç?ACEGô•____acegi!#%')üJLNPR_]^      äíéîñjlnpr*,.0
[  645] 0x00598890 (extracted) | Ex-SOLDIER
[  648] 0x00598914 (extracted) | Barret
[  652] 0x00598998 (extracted) | Tifa
[  656] 0x00598A1C (extracted) | Aerith
[  659] 0x00598AA0 (extracted) | Red
[  664] 0x00598B24 (extracted) | Yuffie
[  668] 0x00598BA8 (extracted) | Cait Seith
[  672] 0x00598C2C (extracted) | Vincent
[  676] 0x00598CB0 (extracted) | Cid
[  683] 0x00598DB8 (extracted) | Sephiroth
[  695] 0x00599240 (cleaned) | Full Equipent!
[  696] 0x599254 (pad:  5) | Magic Materia!
[  697] 0x599268 (pad:  5) | Summon Materia!
[  698] 0x59927C (pad:  4) | Command
[  699] 0x599290 (pad: 12) | Zero - AW YEAH!
[  700] 0x5992A8 (pad:  8) | Feuer
[  701] 0x5992B4 (pad:  6) | Kälte
[  702] 0x5992C0 (pad:  6) | Blitz
[  703] 0x5992CC (pad:  6) | Erde
[  704] 0x5992D8 (pad:  7) | Gift
[  705] 0x5992E4 (pad:  7) | Schwerkraft
[  706] 0x5992F0 (no pad) | Wasser
[  707] 0x5992FC (pad:  5) | Wind
[  708] 0x599308 (pad:  7) | Heilig
[  709] 0x599318 (pad:  9) | Soll das wirklich entfernt werden?
[  710] 0x59933C (pad:  1) | Ja!
[  711] 0x599360 (pad: 32) | Einen Moment
[  712] 0x599384 (pad: 23) | Sephiroth
[  713] 0x5993A8 (pad: 22) | Waf.
[  714] 0x5993C4 (pad: 23) | Rüs.
[  715] 0x5993E0 (pad: 23) | Fähigkeitsliste
[  716] 0x5993FC (pad: 12) | Rüstungseffekt
[  717] 0x599418 (pad: 13) | Prüfen
[  718] 0x599434 (pad: 21) | Ordnen
[  719] 0x599450 (pad: 21) | Gespeicherte Zahl   /24
[  720] 0x59946C (pad:  4) | AP
[  721] 0x599488 (pad: 25) | Auf nächste Ebene
[  722] 0x5994A4 (pad: 10) | MASTER
[  723] 0x5994C0 (pad: 21) | Ordnen
[  724] 0x5994DC (pad: 21) | Tauschen
[  725] 0x5994F8 (pad: 19) | Alles entfernen
[  726] 0x599514 (pad: 12) | Wegwerfen
[  727] 0x59954C (pad: 27) | Geschwindigkeit   %HåHER
[  728] 0x599568 (pad:  3) | Schutz   %HåHER
[  729] 0x599584 (pad: 12) | Zauberkraft   %HåHER
[  730] 0x5995A0 (pad:  7) | Glück   %HåHER
[  731] 0x5995BC (pad: 13) | MASTER
[  732] 0x5995D8 (pad: 21) | Stärke
[  733] 0x5995F4 (pad: 21) | Vitalität
[  734] 0x599610 (pad: 18) | Zauber
[  735] 0x59962C (pad: 21) | Zbrvertdg
[  736] 0x599648 (pad: 18) | Geschick
[  737] 0x599664 (pad: 19) | Glück
[  738] 0x599680 (pad: 22) | MAXHP
[  739] 0x59969C (pad: 22) | MAXMP
[  740] 0x5996B8 (pad: 22) | MAXHP
[  741] 0x5996D4 (pad: 22) | MAXMP
[  742] 0x5996F0 (pad: 22) | EXP.UP
[  743] 0x59970C (pad: 21) | Gil UP
[  744] 0x599728 (pad: 21) | Treffen - %
[  745] 0x599744 (pad: 16) | Treffen + %
[  746] 0x599760 (pad: 16) | Chocobo treffen
[  747] 0x59977C (pad: 12) | Präventivm. + %
[  748] 0x599798 (pad: 12) | Fernangriff
[  749] 0x5997B4 (pad: 16) | Alle angreifen
[  750] 0x5997D0 (pad: 13) | Gegenangriff
[  751] 0x5997EC (pad: 15) | Alle angreifen
[  752] 0x599808 (pad: 13) | Ständiger Angriff
[  753] 0x599824 (pad: 10) | HP/MP-nderung
[  754] 0x599840 (pad: 13) | Kaufen
[  755] 0x59985E (pad: 23) | Verkaufen
[  756] 0x59987C (pad: 20) | Beenden
[  757] 0x59989A (pad: 22) | Objekt
[  758] 0x5998B8 (pad: 23) | Materia
[  759] 0x5998D8 (pad: 24) | Kaufen Verkaufen Beenden
[  760] 0x5998F8 (pad:  7) | Gil
[  761] 0x599918 (pad: 28) | Besitz
[  762] 0x599938 (pad: 25) | Ausstattung
[  763] 0x599958 (pad: 20) | Gesamt
[  764] 0x599978 (pad: 25) | Wieviel
[  765] 0x599998 (pad: 24) | Objekt    Materia
[  766] 0x5999B8 (pad: 14) | Übrige Gil
[  767] 0x5999D8 (pad: 21) | Preis für Master
[  768] 0x5999F8 (pad: 15) | Preis durch AP
[  769] 0x599A18 (pad: 17) | Waf.
[  770] 0x599A2E (pad: 17) | Rüs.
[  771] 0x599A44 (pad: 17) | Zub.
[  772] 0x599A5A (pad: 17) | Zub.
[  773] 0x599A70 (pad: 17) | Stärke
[  774] 0x599A86 (pad: 15) | Geschick
[  775] 0x599A9C (pad: 13) | Vitalitä
[  776] 0x599AB2 (pad: 13) | Zauber
[  777] 0x599AC8 (pad: 15) | Moral
[  778] 0x599ADE (pad: 16) | Glück
[  779] 0x599AF4 (pad: 16) | Angreifen
[  780] 0x599B0A (pad: 12) | Angreifen %
[  781] 0x599B20 (pad: 10) | Verteidigen
[  782] 0x599B36 (pad: 10) | Verteidigen %
[  783] 0x599B4C (pad:  8) | Zbrangrf
[  784] 0x599B62 (pad: 13) | Zbrvertdg
[  785] 0x599B78 (pad: 12) | Zbrvertdg %
[  786] 0x599B8E (pad: 10) | Schlitz:
[  787] 0x599BA4 (pad: 13) | Verstärkung:
[  788] 0x599BBA (pad:  9) | Keine
[  789] 0x599BD0 (pad: 16) | Normal
[  790] 0x599BE6 (pad: 15) | Doppelt
[  791] 0x599BFC (pad: 14) | Dreifach
[  792] 0x599C14 (pad: 15) | A
[  793] 0x599C16 (no pad) | V
[  794] 0x599C18 (no pad) | Objektladen
[  795] 0x599C40 (pad: 28) | Waffengeschäft
[  796] 0x599C68 (pad: 25) | Objektladen
[  797] 0x599C90 (pad: 28) | Materia-Laden
[  798] 0x599CB8 (pad: 26) | Gemischtwaren
[  799] 0x599CE0 (pad: 26) | Gemüseladen
[  800] 0x599D08 (pad: 28) | Zubehörladen
[  801] 0x599D30 (pad: 27) | Werkzeugladen
[  802] 0x599D58 (pad: 26) | Souvenierladen
[  803] 0x599D80 (pad: 25) | Willkommen!
[  804] 0x599DAE (pad: 34) | Was möchtest du kaufen?
[  805] 0x599DDC (pad: 22) | Wie viele willst du davon?
[  806] 0x599E0A (pad: 19) | Was möchtest du verkaufen?
[  807] 0x599E38 (pad: 19) | Wie viele willst du verkaufen?
[  808] 0x599E66 (pad: 15) | Danke!
[  809] 0x599E94 (pad: 39) | Danke!
[  810] 0x599EC2 (pad: 39) | Du hast nicht genug Geld!
[  811] 0x599F4C (pad: 91) | Guten Tag!
[  812] 0x599F7A (pad: 35) | Wie kann ich behilflich sein?
[  813] 0x599FA8 (pad: 16) | Wie viele willst du davon?
[  814] 0x599FD6 (pad: 19) | Hast du was zu verkaufen?
[  815] 0x59A004 (pad: 20) | Wie viele willst du?
[  816] 0x59A032 (pad: 25) | Vielen Dank!
[  817] 0x59A060 (pad: 33) | Ihr werdet doch alle zurückkommen!
[  818] 0x59A08E (pad: 11) | Soll das ein Witz sein? Das ist nicht genug!
[  822] 0x0059C439 (cleaned) | Laden
[  823] 0x59C488 (pad: 34) | Wählen Sie eine Speicherdatei aus.
[  824] 0x59C4B0 (pad:  5) | Wählen Sie einen Speicherblock aus.
[  825] 0x59C4D8 (pad:  4) | STECKPLATZ 1
[  826] 0x59C500 (pad: 27) | STECKPLATZ 2
[  827] 0x59C528 (pad: 27) | Wirklich?
[  828] 0x59C550 (pad: 30) | Bin am Laden. Bitte warten
[  829] 0x59C578 (pad: 12) | Bin am Sichern. Bitte warten
[  830] 0x59C5A0 (pad: 10) | LEER
[  831] 0x59C5C8 (pad: 35) | BLOCK
[  832] 0x59C5F0 (pad: 34) | Weiter?
[  833] 0x59C618 (pad: 32) | /15
[  834] 0x59C640 (pad: 36) | Überprüfe Spielstandsdatei
[  835] 0x59C668 (pad: 12) | 01
[  836] 0x59C690 (pad: 37) | 02
[  837] 0x59C6B8 (pad: 37) | 03
[  838] 0x59C6E0 (pad: 37) | 04
[  839] 0x59C708 (pad: 37) | 05
[  840] 0x59C730 (pad: 37) | 06
[  841] 0x59C758 (pad: 37) | 07
[  842] 0x59C780 (pad: 37) | 08
[  843] 0x59C7A8 (pad: 37) | 09
[  844] 0x59C7D0 (pad: 37) | 10
[  845] 0x59C7F8 (pad: 37) | 11
[  846] 0x59C820 (pad: 37) | 12
[  847] 0x59C848 (pad: 37) | 13
[  848] 0x59C870 (pad: 37) | 14
[  849] 0x59C898 (pad: 37) | 15
[  850] 0x59C8C0 (pad: 37) | Gespeichert.
[  851] 0x59C8E8 (pad: 27) | Speichern nicht möglich.
[  852] 0x59C910 (pad: 15) | Laden nicht möglich.
[  853] 0x59C938 (pad: 19) | Daten sind zerstört.
[  854] 0x59C960 (pad: 19) | NEUES SPIEL
[  855] 0x59C988 (pad: 28) | Wirklich speichern?
[  856] 0x59C9B0 (pad: 20) | Ja
[  857] 0x59C9D8 (pad: 37) | Nein
[  858] 0x59CA00 (pad: 35) | Beendet.
[  859] 0x59CAC6 (pad: 65) | Formatiert
[  860] 0x59CB08 (pad: 55) | Formatierung nicht möglich
[  861] 0x59CB4A (pad: 39) | Nicht formatiert
[  862] 0x59CB8C (pad: 49) | Jetzt formatieren?
[  863] 0x59CBCE (pad: 47) | Memory Card wird geprüft.
[  864] 0x59CC10 (pad: 40) | Keine Spielstandsdatei.
[  865] 0x59CC52 (pad: 42) | Diese Memory Card ist beschädigt und kann nicht verwendet werden.
[  866] 0x59CC94 (no pad) | Andere Memory Card einlegen.
[  867] 0x59CCD6 (pad: 37) | Nicht genug Platz in der Spielstandsdatei übrig.
[  868] 0x59CD18 (pad: 17) | Bitte benutzen Sie eine andere Spielstandsdatei
[  869] 0x59CD5A (pad: 18) | oder löschen Sie 1 Block gesicherter Daten.
[  870] 0x59CE20 (pad: 65) | Lesen nicht möglich.
[  871] 0x59CE62 (pad: 45) | Spiel beginnen?
[  872] 0x59CFB0 (pad: 69) | Kann Speicherpuffer der Spielstandsdatei nicht zuordnen!
[  873] 0x59CFEC (pad:  3) | Ungültige Spielstandsdatei!
[  874] 0x59D028 (pad: 32) | Spielstand 1
[  875] 0x59D03C (pad:  4) | Spielstand 2
[  876] 0x59D050 (pad:  4) | Spielstand 3
[  877] 0x59D064 (pad:  4) | Spielstand 4
[  878] 0x59D078 (pad:  4) | Spielstand 5
[  879] 0x59D08C (pad:  4) | Spielstand 6
[  880] 0x59D0A0 (pad:  4) | Spielstand 7
[  881] 0x59D0B4 (pad:  4) | Spielstand 8
[  882] 0x59D0C8 (pad:  4) | Spielstand 9
[  883] 0x59D0DC (pad:  4) | Spielstand 10
[  885] 0x0059D150 (extracted) | Level
[  886] 0x59D158 (NOT FOUND: Level) | p  @  cZ|ffW|ôòâ|ìåî|gåòìáî|íïáãìåîNâññ cZ|ffW|ôòâ|ìåî|gåòìáî|íïáãìåîNâññ Eôôá°å
[  894] 0x59D4B6 (no pad) | ü      0        4    =    :    ;    ?    3    A    .    -    /    0    %   £ >   õ 2   ñ @   í ,   ã +   | 5   t <   l 9   d 1   \ 8   T 6   L 7   D B   @ C   < D   8 F             0d      !       P                                                                      $     # #   H  .   é  0             $     & !     "     #     $     %     &   0!         $     ! å   H!         $     ! !   `!         $     ! )$  x!          $     ! )$  é!          $     ! )$  £!          $     ! )$  !          $     ! )$  !          $     ! )$  !          $     ! )$  !          $     !     !  A Hl  $       î H6  $      H (  $       H(! $       Hb  $      @ 0  $       z   $      D @#  $      H       !  ! (      `           !   !      .F  6M  ;R  CZ  J_6 Lc" Rk  Zu  La0 Ui7 \p= \oB ]qD a}" c{; eá! jå# mè$ pì& sï( uó* xô. wó6 {2 wñ: °6 £6 ã; dxG i{P wìI nR rã[ äB {ëf âôk ëöw ñß} îG îH ñG òL ïR í] °P S T U Y îf ñf b ô| Ü \ ` a b e l i l n m u u z z x q u z y w y { | ï  â ñ ° £ â â é è í ó £ à å è è ë í ï ï õ õ ô • £  •    ß
