# German Strings - Clean Offsets (Text Start, No Empties)
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Region: 0x58FBB0 - 0x5A0000
# Total: 895 non-empty strings
# Offset points to where TEXT starts (after padding)
# Format: [INDEX] OFFSET (PAD_BYTES) | TEXT
================================================================================

[  407] 0x596BD0 (pad: 13) | Wasser
[  408] 0x596BF8 (pad: 19) | Schild
[  409] 0x596C0C (pad: 13) | Todesurteil
[  410] 0x596C20 (pad:  8) | Manipul.
[  411] 0x596C34 (pad: 11) | Tobsucht
[  412] 0x596C48 (pad: 11) | Unverwundbar
[  413] 0x596C5C (pad:  7) | Lähmung
[  414] 0x596C70 (pad: 12) | Blind
[  415] 0x596C88 (pad: 18) | Element/Nebenwirkung
[  416] 0x596CA1 (pad:  4) | Zusatzwirkung
[  417] 0x596CBA (pad: 11) | Angriff
[  418] 0x596CD3 (pad: 17) | Verteidigung
[  419] 0x596CEC (pad: 12) | Halbieren
[  420] 0x596D05 (pad: 15) | Unwirksam
[  421] 0x596D1E (pad: 15) | Absorbieren
[  422] 0x596D82 (pad: 24) | Stärke
[  423] 0x596D9B (pad: 18) | Geschick
[  424] 0x596DB4 (pad: 16) | Vitalität
[  425] 0x596DCD (pad: 15) | Zauber
[  426] 0x596DE6 (pad: 18) | Gemüt
[  427] 0x596DFF (pad: 19) | Glück
[  428] 0x596E18 (pad: 19) | Angriff
[  429] 0x596E31 (pad: 17) | Angriff %
[  430] 0x596E4A (pad: 15) | Verteidigung
[  431] 0x596E63 (pad: 12) | Verteidigung %
[  432] 0x596E7C (pad: 10) | Zauber
[  433] 0x596E95 (pad: 18) | Zauberabwehr
[  434] 0x596EAE (pad: 12) | Zauberabw. %
[  435] 0x596EC7 (pad: 12) | Waf.
[  436] 0x596EE0 (pad: 20) | Rüs.
[  437] 0x596EF9 (pad: 20) | Acc.
[  438] 0x596F12 (pad: 20) | Limit-Stufe
[  439] 0x00596F78 (cleaned) | Waf.
[  440] 0x596F96 (pad: 17) | Rüs.
[  441] 0x596FAC (pad: 17) | Acc.
[  442] 0x596FC2 (pad: 17) | Zub.
[  443] 0x596FD8 (pad: 17) | Stärke
[  444] 0x596FEE (pad: 15) | Geschick
[  445] 0x597004 (pad: 13) | Vitalitä
[  446] 0x59701A (pad: 13) | Zauber
[  447] 0x597030 (pad: 15) | Moral
[  448] 0x597046 (pad: 16) | Glück
[  449] 0x59705C (pad: 16) | Angriff
[  450] 0x597072 (pad: 14) | Angriff %
[  451] 0x597088 (pad: 12) | Verteidigung
[  452] 0x59709E (pad:  9) | Verteidigung %
[  453] 0x5970B4 (pad:  7) | Zauber
[  454] 0x5970CA (pad: 15) | Zauberabwehr
[  455] 0x5970E0 (pad:  9) | Zauberabw. %
[  456] 0x5970F6 (pad:  9) | Fassung:
[  457] 0x59710C (pad: 13) | Wachstum:
[  458] 0x597122 (pad: 12) | Keine
[  459] 0x597138 (pad: 16) | Normal
[  460] 0x59714E (pad: 15) | Doppelt
[  461] 0x597164 (pad: 14) | Dreifach
[  462] 0x005971D1 (cleaned) | Feuer
[  463] 0x5971EC (pad:  6) | Kälte
[  464] 0x5971F8 (pad:  6) | Blitz
[  465] 0x597204 (pad:  6) | Erde
[  466] 0x597210 (pad:  7) | Gift
[  467] 0x59721C (pad:  7) | Schwerkraft
[  468] 0x597228 (no pad) | Wasser
[  469] 0x597234 (pad:  5) | Wind
[  470] 0x597240 (pad:  7) | Heilig
[  471] 0x597250 (pad:  9) | Soll das wirklich entfernt werden?
[  472] 0x597274 (pad:  1) | Ja!
[  473] 0x597298 (pad: 32) | Einen Moment
[  474] 0x5972BC (pad: 23) | Sephiroth
[  475] 0x5972E0 (pad: 22) | Waf.
[  476] 0x5972FC (pad: 23) | Rüs.
[  477] 0x597318 (pad: 23) | Fähigkeitsliste
[  478] 0x597334 (pad: 12) | Rüstungseffekt
[  479] 0x597350 (pad: 13) | Prüfen
[  480] 0x59736C (pad: 21) | Ordnen
[  481] 0x597388 (pad: 21) | Gespeicherte Zahl   /24
[  482] 0x5973A4 (pad:  4) | AP
[  483] 0x5973C0 (pad: 25) | Auf nächste Ebene
[  484] 0x5973DC (pad: 10) | MASTER
[  485] 0x5973F8 (pad: 21) | Ordnen
[  486] 0x597414 (pad: 21) | Tauschen
[  487] 0x597430 (pad: 19) | Alles entfernen
[  488] 0x59744C (pad: 12) | Wegwerfen
[  489] 0x597484 (pad: 27) | Geschwindigkeit   %HåHER
[  490] 0x5974A0 (pad:  3) | Schutz   %HåHER
[  491] 0x5974BC (pad: 12) | Zauberkraft   %HåHER
[  492] 0x5974D8 (pad:  7) | Glück   %HåHER
[  493] 0x5974F4 (pad: 13) | MASTER
[  494] 0x597510 (pad: 21) | Stärke
[  495] 0x59752C (pad: 21) | Vitalität
[  496] 0x597548 (pad: 18) | Zauber
[  497] 0x597564 (pad: 21) | Zbrvertdg
[  498] 0x597580 (pad: 18) | Geschick
[  499] 0x59759C (pad: 19) | Glück
[  500] 0x5975B8 (pad: 22) | MAXHP
[  501] 0x5975D4 (pad: 22) | MAXMP
[  502] 0x5975F0 (pad: 22) | MAXHP
[  503] 0x59760C (pad: 22) | MAXMP
[  504] 0x597628 (pad: 22) | EXP.UP
[  505] 0x597644 (pad: 21) | Gil UP
[  506] 0x597660 (pad: 21) | Treffen - %
[  507] 0x59767C (pad: 16) | Treffen + %
[  508] 0x597698 (pad: 16) | Chocobo treffen
[  509] 0x5976B4 (pad: 12) | Präventivm. + %
[  510] 0x5976D0 (pad: 12) | Fernangriff
[  511] 0x5976EC (pad: 16) | Alle angreifen
[  512] 0x597708 (pad: 13) | Gegenangriff
[  513] 0x597724 (pad: 15) | Alle angreifen
[  514] 0x597740 (pad: 13) | Ständiger Angriff
[  515] 0x59775C (pad: 10) | HP/MP-nderung
[  516] 0x59777C (pad: 17) | "    "S    !C!! $!C!   "C! D  £ } : !ì     5"S   S "T !ç $!!|!ç @ !    `!i   i `!:   ~    ~     ~ `!  2 z \ O -  W     *!:   : `!:  S    S 0
[  517] 0x00597869 (cleaned) | Zauber
[  518] 0x597886 (pad: 15) | Beschwören
[  519] 0x59789C (pad: 11) | Feindtechnik
[  520] 0x5978B2 (pad:  9) | Zusätzliche Fähigkeit
[  521] 0x5978C8 (no pad) | Alle
[  522] 0x5978DE (pad: 17) | 4x-Zber
[  523] 0x5978F4 (pad: 14) | MP absorb.
[  524] 0x59790A (pad: 11) | HP absorb.
[  525] 0x597936 (pad: 21) | Auch stehl.
[  526] 0x59794C (pad: 10) | Schlag
[  527] 0x597962 (pad: 15) | Turbo-MP
[  528] 0x597978 (pad: 13) | Nichts
[  529] 0x59798E (pad: 15) | Nicht genug MP.
[  530] 0x005979F8 (cleaned) | Verwenden
[  531] 0x597A1A (pad:  8) | Ordnen
[  532] 0x597A2C (pad: 11) | Schlüsselobjekte
[  533] 0x597A3E (pad:  1) | Allein
[  534] 0x597A50 (pad: 11) | Feld
[  535] 0x597A62 (pad: 13) | Schlacht
[  536] 0x597A74 (pad:  9) | Werfen
[  537] 0x597A86 (pad: 11) | Typ
[  538] 0x597A98 (pad: 14) | Name
[  539] 0x597AAA (pad: 13) | Max.
[  540] 0x597ABC (pad: 13) | Min.
[  541] 0x597AD0 (pad: 15) | OK! Klar!
[  542] 0x597AF8 (pad: 30) | Ich bin nicht sicher, aber
[  543] 0x597B20 (pad: 12) | Ist mir egal.
[  544] 0x597B48 (pad: 26) | Heh! Heh!
[  545] 0x597B70 (pad: 30) | V-v-verdammt! Mein Kopf!
[  546] 0x597B98 (pad: 15) | Hat nichts mit mir zu tun!
[  547] 0x597BC0 (pad: 13) | Hmm, das wär's also.
[  548] 0x597BE8 (pad: 19) | Ich bin nicht sicher, aber
[  549] 0x597C10 (pad: 12) | Ich hab die falsche Person erwischt.
[  550] 0x597C38 (pad:  3) | Das sollte ok sein.
[  551] 0x597C60 (pad: 20) | Noch nicht ganz bereit.
[  552] 0x597C88 (pad: 16) | Nein, ich bin es nicht.
[  553] 0x597CB0 (pad: 16) | Ok, klar!
[  554] 0x597CD8 (pad: 30) | Kapier ich nicht.
[  555] 0x597D00 (pad: 22) | Hat nichts mit mir zu tun.
[  556] 0x597D28 (pad: 13) | Cool! Das sollte ok sein!
[  557] 0x597D50 (pad: 14) | Nee! Kapier ich nicht!
[  558] 0x597D78 (pad: 17) | Mann, ich tapp total im Dunkeln!
[  559] 0x597DA0 (pad:  7) | Ich verlier immer mehr Menschliches
[  560] 0x597DC8 (pad:  3) | Ich bin noch nicht bereit.
[  561] 0x597DF0 (pad: 13) | Es hat nichts mit mir zu tun.
[  562] 0x597E18 (pad: 10) | Das gefällt mir! Her damit!
[  563] 0x597E40 (pad: 12) | Hmph. Hab ich nicht ganz kapiert, aber
[  564] 0x597E68 (no pad) | Nicht ich! Gib es jemand anders!
[  565] 0x597E90 (pad:  7) | Es hat nichts mit mir zu tun.
[  566] 0x597EB8 (pad: 10) | %!à >!, )!Y   h 7!é f R å 7    á ç v    !! &!   b a ) V ; = [ \ #!  ,!j +!    1!M /  0   # w
[  567] 0x597F2E (NOT FOUND: Cloud) | 8 N ï    E   • z E!° 5!@!i n q F!í       4 (! ì Z x   B â       3  =!]  I!J!K!L!
[  568] 0x5981E8 (no pad) | Zí
[  569] 0x5981F1 (no pad) | ä
[  570] 0x598208 (no pad) | í
[  571] 0x598211 (no pad) | ä
[  572] 0x598228 (no pad) | ëí
[  573] 0x598231 (no pad) | V
[  574] 0x598248 (no pad) | âvÜÜÜÜS\
[  575] 0x59825B (no pad) | äí
[  576] 0x598268 (no pad) | VâÜäÜéudâ
[  577] 0x59827A (no pad) | ä|â
[  578] 0x598289 (no pad) | äâÜVâe
[  579] 0x59829A (no pad) | vSÜâ
[  580] 0x5982A9 (no pad) | éVëÜâS
[  581] 0x5982B9 (no pad) | äâXÜ
[  582] 0x5982C9 (no pad) | äÜëâX
[  583] 0x5982D9 (no pad) | VxÜ
[  584] 0x5982EA (no pad) | VÜVS
[  585] 0x5982F9 (no pad) | äÜÜXäí
[  586] 0x59830A (no pad) | äÜí
[  587] 0x598319 (no pad) | VéâÜ
[  588] 0x59832B (no pad) | ë
[  589] 0x598338 (no pad) | VäâXéf
[  590] 0x59834B (no pad) | S
[  591] 0x598358 (no pad) | ïxÜe
[  592] 0x598378 (no pad) | íÜ
[  593] 0x598398 (no pad) | ä
[  594] 0x5983B8 (no pad) | ää
[  595] 0x5983C1 (no pad) | ä
[  596] 0x5983D8 (no pad) | Zí
[  597] 0x5983E1 (no pad) | ä
[  598] 0x5983F8 (no pad) | í
[  599] 0x598401 (no pad) | ä
[  600] 0x598418 (no pad) | ëí
[  601] 0x598421 (no pad) | V
[  602] 0x598438 (no pad) | âvÜÜÜÜS\
[  603] 0x598458 (no pad) | VâÜäÜéudâ
[  604] 0x59846B (no pad) | äí
[  605] 0x598479 (no pad) | äâÜVâe
[  606] 0x59848A (no pad) | ä|â
[  607] 0x598499 (no pad) | éVëÜâS
[  608] 0x5984AA (no pad) | vSÜâ
[  609] 0x5984B9 (no pad) | äÜëâX
[  610] 0x5984C9 (no pad) | äâXÜ
[  611] 0x5984DA (no pad) | VÜVS
[  612] 0x5984E9 (no pad) | VxÜ
[  613] 0x5984FA (no pad) | äÜí
[  614] 0x598509 (no pad) | äÜÜXäí
[  615] 0x59851B (no pad) | ë
[  616] 0x598529 (no pad) | VéâÜ
[  617] 0x59853B (no pad) | S
[  618] 0x598548 (no pad) | VäâXéf
[  619] 0x598568 (no pad) | ïxÜe
[  620] 0x598588 (no pad) | íÜ
[  621] 0x5985A8 (no pad) | ä
[  622] 0x5985C8 (no pad) | ää
[  623] 0x00598619 (cleaned) | Cloud
[  624] 0x598634 (pad:  6) | Barret
[  625] 0x598640 (pad:  5) | Tifa
[  626] 0x59864C (pad:  7) | Aeris
[  627] 0x598658 (pad:  6) | Red XIII
[  628] 0x598664 (pad:  3) | Yuffie
[  629] 0x598670 (pad:  5) | Cait Sith
[  630] 0x59867C (pad:  2) | Vincent
[  631] 0x598688 (pad:  4) | Cid
[  632] 0x598694 (pad:  8) | Choco
[  633] 0x5986BE (pad:  9) | Leer
[  634] 0x5986C8 (pad:  5) | Löschen
[  635] 0x5986D2 (pad:  2) | Auswählen
[  636] 0x5986DC (no pad) | Standard
[  637] 0x5986E6 (pad:  1) | Abbrechen
[  638] 0x0059873E (cleaned) | RaginLion
[  639] 0x598750 (pad:  6) | Freshmake
[  640] 0x598760 (pad:  6) | Square
[  641] 0x598770 (pad:  9) | 3Dfx
[  642] 0x598780 (pad: 11) | Local
[  643] 0x598790 (pad: 10) | Gold
[  644] 0x5987A0 (NOT FOUND: Ex-SOLDIER) | ëìèïókmoqs+-/13uwy{}579;=áâåç?ACEGô•____acegi!#%')üJLNPR_]^      äíéîñjlnpr*,.0
[  645] 0x598864 (pad:  4) | !   "   $   %   '   (        &4031&.      !îEx-SOLDIER
[  646] 0x5988A1 (no pad) | X!         Z!Z!V V
[  647] 0x5988BC (no pad) | à"  T   R
[  648] 0x00598914 (cleaned) | Barret
[  649] 0x598920 (no pad) | @
[  650] 0x598926 (pad:  1) | !           / /
[  651] 0x598940 (no pad) | *
[  652] 0x00598998 (cleaned) | Tifa
[  653] 0x5989A4 (no pad) | 0
[  654] 0x5989AA (pad:  1) | !           0 0
[  655] 0x5989C4 (no pad) | (
[  656] 0x00598A1C (cleaned) | Aerith
[  657] 0x598A28 (no pad) | ^
[  658] 0x598A2C (pad:  1) | !           7 7
[  659] 0x00598AA0 (cleaned) | Red
[  660] 0x598AAC (no pad) | P#
[  661] 0x598AB2 (pad:  1) | !           1 1
[  662] 0x598ACC (no pad) | ,   Q# 7#
[  663] 0x598AF0 (no pad) | E
[  664] 0x00598B24 (cleaned) | Yuffie
[  665] 0x598B30 (no pad) | w$
[  666] 0x598B36 (pad:  1) | !         ã ã % %
[  667] 0x598B54 (pad:  4) | GL!
[  668] 0x00598BA8 (cleaned) | Cait Seith
[  669] 0x598BB4 (no pad) | å%
[  670] 0x598BBA (pad:  1) | !           2 2
[  671] 0x598BD4 (no pad) | .   J   Zx;
[  672] 0x00598C2C (cleaned) | Vincent
[  673] 0x598C38 (no pad) | ò%
[  674] 0x598C3E (pad:  1) | !           2 2
[  675] 0x598C58 (no pad) | 0
[  676] 0x00598CB0 (cleaned) | Cid
[  677] 0x598CBC (no pad) | i&
[  678] 0x598CC2 (pad:  1) | !           / /
[  679] 0x598CDC (no pad) | 2
[  680] 0x598D24 (pad:  4) | )!,,+*&%      !
[  681] 0x598D41 (pad:  1) | !  '!           $ $
[  682] 0x598D60 (no pad) | ,   *
[  683] 0x00598DB8 (cleaned) | Sephiroth
[  684] 0x598DC4 (no pad) | ü&(
[  685] 0x598DCA (pad:  1) | !          / /!!
[  686] 0x598DE4 (no pad) | $ W
[  687] 0x598DEC (no pad) | U
[  688] 0x598DF0 (no pad) | S
[  689] 0x598DF4 (no pad) | 7
[  690] 0x598DF8 (no pad) | Q
[  691] 0x598E08 (no pad) | R
[  692] 0x598E0C (no pad) | 7
[  693] 0x598E10 (no pad) | T
[  694] 0x598E14 (no pad) | 7
[  695] 0x00599240 (cleaned) | Full Equipent!
[  696] 0x599254 (pad:  5) | Magic Materia!
[  697] 0x599268 (pad:  5) | Summon Materia!
[  698] 0x59927C (pad:  4) | Command
[  699] 0x599290 (pad: 12) | Zero - AW YEAH!
[  700] 0x5992A8 (pad:  8) | Feuer
[  701] 0x5992B4 (pad:  6) | Kälte
[  702] 0x5992C0 (pad:  6) | Blitz
[  703] 0x5992CC (pad:  6) | Erde
[  704] 0x5992D8 (pad:  7) | Gift
[  705] 0x5992E4 (pad:  7) | Schwerkraft
[  706] 0x5992F0 (no pad) | Wasser
[  707] 0x5992FC (pad:  5) | Wind
[  708] 0x599308 (pad:  7) | Heilig
[  709] 0x599318 (pad:  9) | Soll das wirklich entfernt werden?
[  710] 0x59933C (pad:  1) | Ja!
[  711] 0x599360 (pad: 32) | Einen Moment
[  712] 0x599384 (pad: 23) | Sephiroth
[  713] 0x5993A8 (pad: 22) | Waf.
[  714] 0x5993C4 (pad: 23) | Rüs.
[  715] 0x5993E0 (pad: 23) | Fähigkeitsliste
[  716] 0x5993FC (pad: 12) | Rüstungseffekt
[  717] 0x599418 (pad: 13) | Prüfen
[  718] 0x599434 (pad: 21) | Ordnen
[  719] 0x599450 (pad: 21) | Gespeicherte Zahl   /24
[  720] 0x59946C (pad:  4) | AP
[  721] 0x599488 (pad: 25) | Auf nächste Ebene
[  722] 0x5994A4 (pad: 10) | MASTER
[  723] 0x5994C0 (pad: 21) | Ordnen
[  724] 0x5994DC (pad: 21) | Tauschen
[  725] 0x5994F8 (pad: 19) | Alles entfernen
[  726] 0x599514 (pad: 12) | Wegwerfen
[  727] 0x59954C (pad: 27) | Geschwindigkeit   %HåHER
[  728] 0x599568 (pad:  3) | Schutz   %HåHER
[  729] 0x599584 (pad: 12) | Zauberkraft   %HåHER
[  730] 0x5995A0 (pad:  7) | Glück   %HåHER
[  731] 0x5995BC (pad: 13) | MASTER
[  732] 0x5995D8 (pad: 21) | Stärke
[  733] 0x5995F4 (pad: 21) | Vitalität
[  734] 0x599610 (pad: 18) | Zauber
[  735] 0x59962C (pad: 21) | Zbrvertdg
[  736] 0x599648 (pad: 18) | Geschick
[  737] 0x599664 (pad: 19) | Glück
[  738] 0x599680 (pad: 22) | MAXHP
[  739] 0x59969C (pad: 22) | MAXMP
[  740] 0x5996B8 (pad: 22) | MAXHP
[  741] 0x5996D4 (pad: 22) | MAXMP
[  742] 0x5996F0 (pad: 22) | EXP.UP
[  743] 0x59970C (pad: 21) | Gil UP
[  744] 0x599728 (pad: 21) | Treffen - %
[  745] 0x599744 (pad: 16) | Treffen + %
[  746] 0x599760 (pad: 16) | Chocobo treffen
[  747] 0x59977C (pad: 12) | Präventivm. + %
[  748] 0x599798 (pad: 12) | Fernangriff
[  749] 0x5997B4 (pad: 16) | Alle angreifen
[  750] 0x5997D0 (pad: 13) | Gegenangriff
[  751] 0x5997EC (pad: 15) | Alle angreifen
[  752] 0x599808 (pad: 13) | Ständiger Angriff
[  753] 0x599824 (pad: 10) | HP/MP-nderung
[  754] 0x599840 (pad: 13) | Kaufen
[  755] 0x59985E (pad: 23) | Verkaufen
[  756] 0x59987C (pad: 20) | Beenden
[  757] 0x59989A (pad: 22) | Objekt
[  758] 0x5998B8 (pad: 23) | Materia
[  759] 0x5998D8 (pad: 24) | Kaufen Verkaufen Beenden
[  760] 0x5998F8 (pad:  7) | Gil
[  761] 0x599918 (pad: 28) | Besitz
[  762] 0x599938 (pad: 25) | Ausstattung
[  763] 0x599958 (pad: 20) | Gesamt
[  764] 0x599978 (pad: 25) | Wieviel
[  765] 0x599998 (pad: 24) | Objekt    Materia
[  766] 0x5999B8 (pad: 14) | Übrige Gil
[  767] 0x5999D8 (pad: 21) | Preis für Master
[  768] 0x5999F8 (pad: 15) | Preis durch AP
[  769] 0x599A18 (pad: 17) | Waf.
[  770] 0x599A2E (pad: 17) | Rüs.
[  771] 0x599A44 (pad: 17) | Zub.
[  772] 0x599A5A (pad: 17) | Zub.
[  773] 0x599A70 (pad: 17) | Stärke
[  774] 0x599A86 (pad: 15) | Geschick
[  775] 0x599A9C (pad: 13) | Vitalitä
[  776] 0x599AB2 (pad: 13) | Zauber
[  777] 0x599AC8 (pad: 15) | Moral
[  778] 0x599ADE (pad: 16) | Glück
[  779] 0x599AF4 (pad: 16) | Angreifen
[  780] 0x599B0A (pad: 12) | Angreifen %
[  781] 0x599B20 (pad: 10) | Verteidigen
[  782] 0x599B36 (pad: 10) | Verteidigen %
[  783] 0x599B4C (pad:  8) | Zbrangrf
[  784] 0x599B62 (pad: 13) | Zbrvertdg
[  785] 0x599B78 (pad: 12) | Zbrvertdg %
[  786] 0x599B8E (pad: 10) | Schlitz:
[  787] 0x599BA4 (pad: 13) | Verstärkung:
[  788] 0x599BBA (pad:  9) | Keine
[  789] 0x599BD0 (pad: 16) | Normal
[  790] 0x599BE6 (pad: 15) | Doppelt
[  791] 0x599BFC (pad: 14) | Dreifach
[  792] 0x599C14 (pad: 15) | A
[  793] 0x599C16 (no pad) | V
[  794] 0x599C18 (no pad) | Objektladen
[  795] 0x599C40 (pad: 28) | Waffengeschäft
[  796] 0x599C68 (pad: 25) | Objektladen
[  797] 0x599C90 (pad: 28) | Materia-Laden
[  798] 0x599CB8 (pad: 26) | Gemischtwaren
[  799] 0x599CE0 (pad: 26) | Gemüseladen
[  800] 0x599D08 (pad: 28) | Zubehörladen
[  801] 0x599D30 (pad: 27) | Werkzeugladen
[  802] 0x599D58 (pad: 26) | Souvenierladen
[  803] 0x599D80 (pad: 25) | Willkommen!
[  804] 0x599DAE (pad: 34) | Was möchtest du kaufen?
[  805] 0x599DDC (pad: 22) | Wie viele willst du davon?
[  806] 0x599E0A (pad: 19) | Was möchtest du verkaufen?
[  807] 0x599E38 (pad: 19) | Wie viele willst du verkaufen?
[  808] 0x599E66 (pad: 15) | Danke!
[  809] 0x599E94 (pad: 39) | Danke!
[  810] 0x599EC2 (pad: 39) | Du hast nicht genug Geld!
[  811] 0x599F4C (pad: 91) | Guten Tag!
[  812] 0x599F7A (pad: 35) | Wie kann ich behilflich sein?
[  813] 0x599FA8 (pad: 16) | Wie viele willst du davon?
[  814] 0x599FD6 (pad: 19) | Hast du was zu verkaufen?
[  815] 0x59A004 (pad: 20) | Wie viele willst du?
[  816] 0x59A032 (pad: 25) | Vielen Dank!
[  817] 0x59A060 (pad: 33) | Ihr werdet doch alle zurückkommen!
[  818] 0x59A08E (pad: 11) | Soll das ein Witz sein? Das ist nicht genug!
[  819] 0x59A118 (pad: 91) | ! #     !!             4                                                           " $             '       (       f                                                   " '             '       (   !   Q   !   R   !   T   !   U                           ! "     "!      4                                                                   " $             '       (       f                                                   # $ !   Q   !   R   !   T   !   U                                                   ! %                          "!      #!                                          # % !   Q   !   R   !   T   !   U   !   0                                           " )             '       (       ,       T       -       .       !       f           $ '             '       (       4       -       .       f                           " %             '       (       T       f                                           ! %                                 #!                                          " '             '       (       T       -       .       f                           # % !   S   !   \   !   D   !   E   !   V                                           % &     `       a       b       c       d       e                                   % *     q       r       s       t       `       a       b       c       d       e   " %             '       -       .       f                                           # $ !   Q   !   T   !   R   !   U                                                   ! %     #!              '       4       f                                           ! %                                                                            " )             !       '       (       T       ,       -       .       f           # % !   E   !   X   !   U   !   V   !   W                                           ! &                                                                           & "     K!      L!                                                                  # % !   Q   !   R   !   T   !   S   !   \                                           " "             '                                                                   ! $     )!      $!      5!      U                                                   # ' !   V   !   W   !   U   !   X   !   Q   !   R   !   T                           " )             !       '       )       (       T       -       .       f           ! #     $!             U                                                           ' #             '       f                                                           $ & !   Z       *       +       )       -       .                                   ( *             '       #       (       *       +       )       ,       -       .   $ #             '       f                                                           ! )                                               R       S       U           " )             !       '       f       *       +       )       -       .           & *     L!      K!      J!      C!      O!      X!  !   Y   !   a   !   V   !   Z   ! (                                                      %!                  $ *             !       '       #       f       *       +       )       -       .   # $ !       !   !   !   Y   !   Z                                                   $ $             !       '       f                                                   ! &            &!      @!      A!      B!      C!                                  " *             !       '       #       -       .       f   !   ^   !   [   !   a   ! )                                                                        " )     !       '       #       -       .       f       ?       C       D!          " (             !       '       #       -       .       *       f                   ! *                                                             f       !   ! *                                                             (!      ,!  & '     E!      S!      T!      U!      M!      N!      O!                          " '     !       '       #       -       .       /       f                           # % !   !   !       !   Z   !   ]   !   d                                           " '     !       '       #       -       .       f       V                           # % !   G   !   J   !   I   !   d   !   7                                           $ $     o       p       ^       _                                                   ! )                                                                        " *                                                                       # & !   #   !   W   !       !   ^   !   [   !   7                                   ! '                                                                          & (     )!                                                                   " (                                                                         ! &                                        V                                   # & !   Q   !   R   !   T   !   S   !   ]   !   \                                   " '             !       '       #       -       .       f                           ! )     V       &!      +!      @!      A!      B!      C!      Q!      W!          " *     !       '       #       f   !   ^   !   [   !   a   !   G   !   I   !   J   " )     '!      *!              !       '       #       -       .       f           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #                                                   R   L!  "   %  "   "   "   L!  p            ã   ã   ã   #  L!  #  "   "   p   "   "   "   "   "   "   "   "   "   "   @#  "   "   "   @#  "   "   "   "   "   "   "   "   "   "   "   "   "   "   !  !  R   !  #  "   "   "   "   "   "   "   3  +  %  #  @#  !     ã   !  !  !  !  !  !  !  "   "   '  %  x"  !     ã   *   "   !  !  !  !  !  !  !  !  R   R   R   !  R   R   R   "   "   "                                                                                               £   #  %  *  N  N  pf  (  .  ã9  *  é0  "   "   "   "   £   `!  "  $  )  6  0G  ^  ('  *  Z  (  é0  "   "   "   £   ~!  #  £%  *  8  N  pf  '  ,  ^  ,  ,  "   "   "   @#  4%  )  ñ7  J  éb  '  -  V  ñ7  `?  "   "   "      ò!  @#  4%  H*  6  ('  ,  )  .  l=  $  ã9  l=  R  Xj  x;  l=  ^  ,  X8  "   Z  "   "   x"  £%  H*  ñ7  N  pf  '  ,  V  +  ñ7  "   "   "   !  )  5  J  pf  (  *  ,  +  Z  "   "   "   #  <,   9  N  pf  -  :  R  +  ,  "   "   "   _b/ ã      8!  ~!  @#  4%  '  ,  2  ('  õ.  `?  N  x"  @#  "   "   "   #  #  %  4%  2  2  2  .  "   "   "   "   "   "   l=  -  l=  /  0G  0G  "   @n  "   "   /  +  +  x;  l=  3  !  l=  "   `?  `?  `?  "   l=  3  "   HC  "   N  0G  "   "
[  820] 0x59C158 (no pad) | `?  `?  @n  @n  Z  !   !   !   !   !   !   !   !   !   !   !   #  !   !   !   !   !       @n  !   !   !   !   !   !   !   !   !   !   !   !   $  #  0G  0G  !   0G  0G  !   !
[  821] 0x59C218 (no pad) | !   x"  x"  %  x"  "  %  +  +  ñ7  3  0G  %  `?  0G      @n  ñ7          HC  !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !
[  822] 0x0059C439 (cleaned) | Laden
[  823] 0x59C488 (pad: 34) | Wählen Sie eine Speicherdatei aus.
[  824] 0x59C4B0 (pad:  5) | Wählen Sie einen Speicherblock aus.
[  825] 0x59C4D8 (pad:  4) | STECKPLATZ 1
[  826] 0x59C500 (pad: 27) | STECKPLATZ 2
[  827] 0x59C528 (pad: 27) | Wirklich?
[  828] 0x59C550 (pad: 30) | Bin am Laden. Bitte warten
[  829] 0x59C578 (pad: 12) | Bin am Sichern. Bitte warten
[  830] 0x59C5A0 (pad: 10) | LEER
[  831] 0x59C5C8 (pad: 35) | BLOCK
[  832] 0x59C5F0 (pad: 34) | Weiter?
[  833] 0x59C618 (pad: 32) | /15
[  834] 0x59C640 (pad: 36) | Überprüfe Spielstandsdatei
[  835] 0x59C668 (pad: 12) | 01
[  836] 0x59C690 (pad: 37) | 02
[  837] 0x59C6B8 (pad: 37) | 03
[  838] 0x59C6E0 (pad: 37) | 04
[  839] 0x59C708 (pad: 37) | 05
[  840] 0x59C730 (pad: 37) | 06
[  841] 0x59C758 (pad: 37) | 07
[  842] 0x59C780 (pad: 37) | 08
[  843] 0x59C7A8 (pad: 37) | 09
[  844] 0x59C7D0 (pad: 37) | 10
[  845] 0x59C7F8 (pad: 37) | 11
[  846] 0x59C820 (pad: 37) | 12
[  847] 0x59C848 (pad: 37) | 13
[  848] 0x59C870 (pad: 37) | 14
[  849] 0x59C898 (pad: 37) | 15
