# FF7 English Strings - Standardized Format
# Generated: 2026-01-06 10:45 JST (Tuesday)
# Session: c5687d3e-90a9-47e8-829a-a0c6e70cd98e
# Total strings: 767
#
# Format: [INDEX] OFFSET (BYTES:TEXT_LEN) | TEXT
# ===========================================================================

[  511] 0x00520796 (   1: 12) | [UNICODE:49]
[  512] 0x00520797 (   1: 12) | [UNICODE:4a]
[  513] 0x00520798 (   1: 12) | [UNICODE:4b]
[  514] 0x00520799 (   1: 12) | [UNICODE:4c]
[  515] 0x0052079A (   1: 12) | [UNICODE:4d]
[  516] 0x0052079B (   1: 12) | [UNICODE:4e]
[  517] 0x0052079C (   1: 12) | [UNICODE:4f]
[  518] 0x0052079D (   1: 12) | [UNICODE:50]
[  519] 0x0052079E (   1: 12) | [UNICODE:51]
[  520] 0x0052079F (   1: 12) | [UNICODE:52]
[  521] 0x005207A0 (   1: 12) | [UNICODE:53]
[  522] 0x005207A1 (   1: 12) | [UNICODE:54]
[  523] 0x005207A2 (   1: 12) | [UNICODE:55]
[  524] 0x005207A3 (   1: 12) | [UNICODE:56]
[  525] 0x005207A4 (   1: 12) | [UNICODE:57]
[  526] 0x005207A5 (   1: 12) | [UNICODE:58]
[  527] 0x005207A6 (   1: 12) | [UNICODE:59]
[  528] 0x005207A7 (   1: 12) | [UNICODE:5a]
[  529] 0x005207A8 (   1: 12) | [UNICODE:1a]
[  530] 0x005207A9 (   1: 12) | [UNICODE:1b]
[  531] 0x005207AC (   1: 12) | [UNICODE:10]
[  532] 0x005207AD (   1:  1) | 1
[  533] 0x005207AE (   1:  1) | 2
[  534] 0x005207AF (   1:  1) | 3
[  535] 0x005207B0 (   1:  1) | 4
[  536] 0x005207B1 (   1:  1) | 5
[  537] 0x005207B2 (   1:  1) | 6
[  538] 0x005207B3 (   1:  1) | 7
[  539] 0x005207B4 (   1:  1) | 8
[  540] 0x005207B5 (   1:  1) | 9
[  541] 0x005213D8 (  20: 12) | Ability list
[  542] 0x005213EC (  20: 12) | Equip effect
[  543] 0x0052143C (  20:  2) | AP
[  544] 0x00521450 (  20: 13) | To next level
[  545] 0x00521464 (  20:  6) | MASTER
[  546] 0x005214DC (  20:  9) | Dexterity
[  547] 0x005214F0 (  20:  5) | Cover
[  548] 0x00521504 (  20:  5) | Magic
[  549] 0x00521518 (  20:  4) | Luck
[  550] 0x0052152C (  20:  6) | MASTER
[  551] 0x00521540 (  20:  8) | Strength
[  552] 0x00521554 (  20:  8) | Vitality
[  553] 0x00521568 (  20:  5) | Magic
[  554] 0x0052157C (  20:  9) | Magic def
[  555] 0x00521590 (  20:  9) | Dexterity
[  556] 0x005215A4 (  20:  4) | Luck
[  557] 0x005215B8 (  20:  5) | MaxHP
[  558] 0x005215CC (  20:  5) | MaxMP
[  559] 0x005215E0 (  20:  7) | MaxHPUP
[  560] 0x005215F4 (  20:  7) | MaxMPUP
[  561] 0x00521608 (  20:  6) | EXP.UP
[  562] 0x0052161C (  20:  6) | Gil UP
[  563] 0x00521630 (  20: 12) | Encount Down
[  564] 0x00521644 (  20: 10) | Encount Up
[  565] 0x00521658 (  20: 13) | Meet Chocobos
[  566] 0x0052166C (  20: 11) | Pre-emptive
[  567] 0x00521680 (  20: 17) | Long range attack
[  568] 0x00521694 (  20: 10) | Attack all
[  569] 0x005216A8 (  20: 14) | Counter attack
[  570] 0x005216F8 (   2:  1) | A
[  571] 0x005216FA (   2:  1) | D
[  572] 0x00521700 (  20: 19) | Buy   Sell     Exit
[  573] 0x00521714 (  20:  3) | Gil
[  574] 0x00521728 (  20:  5) | Owned
[  575] 0x0052173C (  20:  8) | Equipped
[  576] 0x00521750 (  20:  5) | Total
[  577] 0x00521764 (  20:  8) | How many
[  578] 0x00521778 (  20: 17) | Item      Materia
[  579] 0x0052178C (  20: 13) | Gil remaining
[  580] 0x005217A0 (  20: 16) | Price for Master
[  581] 0x005217B4 (  20: 16) | Price through AP
[  582] 0x0052196A (  22:  7) | Nothing
[  583] 0x00521980 (  22:  6) | Normal
[  584] 0x00521996 (  22:  6) | Double
[  585] 0x005219AC (  22:  6) | Triple
[  586] 0x005219DC (  20: 11) | Weapon Shop
[  587] 0x005219F0 (  20:  9) | Item Shop
[  588] 0x00521A04 (  20: 12) | Materia Shop
[  589] 0x00521A18 (  20: 13) | General Store
[  590] 0x00521A2C (  20: 15) | Vegetable Store
[  591] 0x00521A40 (  20: 14) | Accessory Shop
[  592] 0x00521A54 (  20:  9) | Tool Shop
[  593] 0x00521A68 (  20: 10) | Hotel Shop
[  594] 0x00521A80 (  46:  8) | Welcome!
[  595] 0x00521AAE (  46: 27) | What would you like to buy?
[  596] 0x00521ADC (  46: 25) | How many would you like?!
[  597] 0x00521B0A (  46: 29) | What would you like to sell?!
[  598] 0x00521B38 (  46: 33) | How many would you like to sell?!
[  599] 0x00524160 (  36:  4) | Load
[  600] 0x00524184 (  36: 24) | Select a save data file.
[  601] 0x005241A8 (  36: 19) | Select a save game.
[  602] 0x00524238 (  36: 21) | Loading. Please wait.
[  603] 0x0052425C (  36: 20) | Saving. Please wait.
[  604] 0x00524280 (  36:  5) | EMPTY
[  605] 0x005242A4 (  36:  4) | GAME
[  606] 0x005242C8 (  36:  9) | Continue?
[  607] 0x00524310 (  36: 24) | Checking Save Data File.
[  608] 0x00524334 (  36:  2) | 01
[  609] 0x00524358 (  36:  2) | 02
[  610] 0x0052437C (  36:  2) | 03
[  611] 0x005243A0 (  36:  2) | 04
[  612] 0x005243C4 (  36:  2) | 05
[  613] 0x005243E8 (  36:  2) | 06
[  614] 0x0052440C (  36:  2) | 07
[  615] 0x00524430 (  36:  2) | 08
[  616] 0x00524454 (  36:  2) | 09
[  617] 0x00524478 (  36:  2) | 10
[  618] 0x0052449C (  36:  2) | 11
[  619] 0x005244C0 (  36:  2) | 12
[  620] 0x005244E4 (  36:  2) | 13
[  621] 0x00524508 (  36:  2) | 14
[  622] 0x0052452C (  36:  2) | 15
[  623] 0x00524550 (  36:  6) | Saved.
[  624] 0x00524574 (  36: 15) | Could not save.
[  625] 0x00524598 (  36: 15) | Could not load.
[  626] 0x005245BC (  36: 15) | Data is ruined.
[  627] 0x005245E0 (  36:  8) | NEW GAME
[  628] 0x00524604 (  36: 30) | Are you sure you want to save?
[  629] 0x00524628 (  36:  3) | Yes
[  630] 0x0052464C (  36:  2) | No
[  631] 0x00524698 (  48: 10) | Completed.
[  632] 0x00524728 (  48: 10) | Formatted.
[  633] 0x00524758 (  48: 17) | Could not format.
[  634] 0x00524788 (  48: 14) | Not formatted.
[  635] 0x005247B8 (  48: 22) | Want to format it now?
[  636] 0x005247E8 (  48: 18) | No save data file.
[  637] 0x00524818 (  48: 18) | No save data file.
[  638] 0x00524848 (  48: 47) | This Memory card is damaged and cannot be used.
[  639] 0x00524878 (  48: 34) | Please insert another Memory card.
[  640] 0x005248A8 (  48: 40) | Not enough space left on save data file.
[  641] 0x005248D8 (  48: 27) | Use another save data file,
[  642] 0x00524908 (  48: 31) | or erase 1 block of saved data.
[  643] 0x00524998 (  48: 17) | Couldn't read it.
[  644] 0x005249C8 (  48: 29) | Still want to begin the game?
[  645] 0x00524AB8 (  48: 41) | Can not allocate save file memory buffer!
[  646] 0x00524AE8 (  48: 18) | Invalid save file!
[  647] 0x00524B18 (  12:  6) | Save 1
[  648] 0x00524B24 (  12:  6) | Save 2
[  649] 0x00524B30 (  12:  9) | 3AVE [13]
[  650] 0x00524B3C (  12:  9) | 3AVE [14]
[  651] 0x00524B48 (  12:  9) | 3AVE [15]
[  652] 0x00524B54 (  12:  9) | 3AVE [16]
[  653] 0x00524B60 (  12:  9) | 3AVE [17]
[  654] 0x00524B6C (  12:  9) | 3AVE [18]
[  655] 0x00524B78 (  12:  9) | 3AVE [19]
[  656] 0x00524B84 (  12: 13) | 3AVE [11][10]
[  657] 0x00524BF0 (   8:  5) | ,EVEL
[  658] 0x005552C0 (  16:  9) | 00'00"000
[  659] 0x005552D0 (  16:  9) | --'--"---
[  660] 0x00555410 (  16: 15) | COURSE A RECORD
[  661] 0x00555420 (  16:  9) | 00'00"000
[  662] 0x00555430 (  16:  9) | --'--"---
[  663] 0x005557A0 (   8:  4) | BEST
[  664] 0x005557B0 (  12:  8) | CONTINUE
[  665] 0x005557BC (   8:  5) | RETRY
[  666] 0x005557C4 (   8:  4) | EXIT
[  667] 0x005557CC (   8:  6) | OPTION
[  668] 0x005557D4 (  12:  8) | CONTINUE
[  669] 0x005557E0 (   8:  5) | RETRY
[  670] 0x005557E8 (   8:  4) | EXIT
[  671] 0x005557F0 (   8:  5) | GHOST
[  672] 0x005557F8 (   8:  7) | SURFACE
[  673] 0x00555800 (   4:  3) | OFF
[  674] 0x00555804 (   8:  5) | BOARD
[  675] 0x0055580C (   8:  6) | SLEIGH
[  676] 0x00555814 (   8:  5) | ? ? ?
[  677] 0x0055581C (   8:  4) | SNOW
[  678] 0x00555824 (   8:  7) | CHECKED
[  679] 0x0055582C (  12:  9) | TRY AGAIN
[  680] 0x00555838 (   8:  4) | EXIT
[  681] 0x00555848 (  12:  9) | TECHNIQUE
[  682] 0x00555854 (   8:  4) | TIME
[  683] 0x0055585C (   8:  7) | BALLOON
[  684] 0x00555864 (   8:  5) | TOTAL
[  685] 0x0055586C (   8:  4) | BEST
[  686] 0x00555874 (  12:  8) | /30 PTS.
[  687] 0x00555880 (  12:  8) | OSP@ptsN
[  688] 0x0055588C (  12:  8) | OTP@ptsN
[  689] 0x00555898 (   8:  7) | OC@ptsN
[  690] 0x005558A0 (   8:  7) | OC@ptsN
[  691] 0x005558AC (   8:  4) | QstN
[  692] 0x005558B4 (   8:  4) | RndN
[  693] 0x005558BC (   8:  4) | SrdN
[  694] 0x005558C4 (   8:  4) | TthN
[  695] 0x005558CC (   8:  4) | UthN
[  696] 0x0057B2A8 (   8:  5) | TEIOH
[  697] 0x0057B3D0 (  16: 12) | Sprint Shoes
[  698] 0x0057B3E0 (  16:  7) | Counter
[  699] 0x0057B3F0 (  16: 13) | Magic Counter
[  700] 0x0057B400 (  16: 14) | Precious Watch
[  701] 0x0057B410 (  16:  5) | Ether
[  702] 0x0057B420 (  16: 10) | Hero Drink
[  703] 0x0057B430 (  16: 10) | Bolt Plume
[  704] 0x0057B440 (  16:  6) | Elixir
[  705] 0x0057B450 (  16:  9) | Fire Fang
[  706] 0x0057B460 (  16: 14) | Antarctic Wind
[  707] 0x0057B470 (  16:  6) | Potion
[  708] 0x0057B480 (  16: 12) | Phoenix Down
[  709] 0x0057B490 (  16:  5) | Hyper
[  710] 0x0057B4A0 (  16: 12) | Tranquilizer
[  711] 0x0057B4B0 (  16: 10) | Cat's Bell
[  712] 0x0057B4C0 (  16:  5) | Enemy
[  713] 0x0057B4D0 (  16:  5) | Sneak
[  714] 0x0057B4E0 (  16: 25) | Chocobracelet[FF][FF][FF]
[  715] 0x0057B4F0 (  16:  5) | Swift
[  716] 0x0057B500 (  16:  4) | Fire
[  717] 0x0057B510 (  16: 37) | Megalixir[FF][FF][FF][FF][FF][FF][FF]
[  718] 0x0057B520 (  16:  5) | Turbo
[  719] 0x0057B530 (  16: 37) | Hi-Potion[FF][FF][FF][FF][FF][FF][FF]
[  720] 0x0057B540 (  16:  3) | Ice
[  721] 0x0057B658 (   7:  3) | SAM
[  722] 0x0057B65F (   7:  4) | ELEN
[  723] 0x0057B666 (   7:  5) | BLUES
[  724] 0x0057B66D (   7:  3) | TOM
[  725] 0x0057B674 (   7:  4) | JOHN
[  726] 0x0057B67B (   7:  4) | GARY
[  727] 0x0057B682 (   7:  4) | MIKE
[  728] 0x0057B689 (   7:  5) | SANDY
[  729] 0x0057B690 (   7:  2) | JU
[  730] 0x0057B697 (   7:  2) | LY
[  731] 0x0057B69E (   7:  4) | JOEL
[  732] 0x0057B6A5 (   7:  4) | GREY
[  733] 0x0057B6AC (   7:  6) | EDWARD
[  734] 0x0057B6B3 (   7:  5) | JAMES
[  735] 0x0057B6BA (   7:  6) | HARVEY
[  736] 0x0057B6C1 (   7:  3) | DAN
[  737] 0x0057B6C8 (   7:  4) | RUDY
[  738] 0x0057B6CF (   7:  6) | GRAHAM
[  739] 0x0057B6D6 (   7:  3) | FOX
[  740] 0x0057B6DD (   7:  5) | CLIVE
[  741] 0x0057B6E4 (   7:  4) | SEAN
[  742] 0x0057B6EB (   7:  5) | YOUNG
[  743] 0x0057B6F2 (   7:  5) | ROBIN
[  744] 0x0057B6F9 (   7:  5) | DARIO
[  745] 0x0057B700 (   7:  1) | K
[  746] 0x0057B707 (   7:  3) | ARL
[  747] 0x0057B70E (   7:  4) | SARA
[  748] 0x0057B715 (   7:  5) | MARIE
[  749] 0x0057B71C (   7:  5) | SAMMY
[  750] 0x0057B723 (   7:  3) | LIA
[  751] 0x0057B72A (   7:  6) | KNIGHT
[  752] 0x0057B731 (   7:  5) | PAULA
[  753] 0x0057B738 (   7:  3) | PAU
[  754] 0x0057B73F (   7:  2) | LE
[  755] 0x0057B746 (   7:  5) | PETER
[  756] 0x0057B74D (   7:  5) | AIMEE
[  757] 0x0057B754 (   7:  5) | TERRY
[  758] 0x0057B75B (   7:  4) | ANDY
[  759] 0x0057B762 (   7:  5) | NANCY
[  760] 0x0057B769 (   7:  3) | TIM
[  761] 0x0057B770 (   7:  5) | ROBER
[  762] 0x0057B777 (   7:  1) | T
[  763] 0x0057B77E (   7:  6) | GEORGE
[  764] 0x0057B785 (   7:  5) | JENNY
[  765] 0x0057B78C (   7:  4) | RICA
[  766] 0x0057B793 (   7:  5) | JULIA
